北京 , 上海 , 海航旗下金鹏航 , Y87613 , 波音737 , 首都国际机场 , PEK , 浦东国际机场 , PVG , 2024-01-20 10:50:00 , 2024-01-20 13:20:00 , 97% , 1160
北京 , 上海 , 中国联合航空 , KN6081 , 空客321 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 20:15:00 , 2024-01-20 22:40:00 , 97% , 1610
北京 , 上海 , 中国联合航空 , KN5977 , 波音737 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 20:55:00 , 2024-01-20 23:20:00 , 90% , 490
北京 , 上海 , 中国联合航空 , KN5955 , 空客330 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 17:15:00 , 2024-01-20 19:15:00 , 80% , 570
北京 , 上海 , 中国联合航空 , KN6111 , 空客321 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 12:55:00 , 2024-01-20 15:25:00 , 97% , 2150
北京 , 上海 , 中国联合航空 , KN5737 , 波音737 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 07:20:00 , 2024-01-20 09:25:00 , 90% , 650
北京 , 上海 , 中国联合航空 , KN6104 , 空客330 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 07:30:00 , 2024-01-20 09:45:00 , 83% , 1610
北京 , 上海 , 四川航空 , 3U4795 , 空客330 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 09:00:00 , 2024-01-20 11:05:00 , 90% , 840
北京 , 上海 , 四川航空 , 3U2485 , 波音737 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 17:30:00 , 2024-01-20 19:35:00 , 97% , 570
北京 , 上海 , 四川航空 , 3U5140 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 17:00:00 , 2024-01-20 19:15:00 , 90% , 970
北京 , 上海 , 四川航空 , 3U5162 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 21:30:00 , 2024-01-20 23:45:00 , 97% , 970
北京 , 上海 , 四川航空 , 3U5134 , 空客321 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 12:00:00 , 2024-01-20 14:15:00 , 97% , 970
北京 , 上海 , 四川航空 , 3U5156 , 空客320 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 13:30:00 , 2024-01-20 15:45:00 , 97% , 970
北京 , 上海 , 四川航空 , 3U5168 , 空客321 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 12:55:00 , 2024-01-20 15:25:00 , 97% , 2040
北京 , 上海 , 四川航空 , 3U5146 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 20:00:00 , 2024-01-20 22:05:00 , 93% , 970
北京 , 上海 , 四川航空 , 3U5474 , 空客321 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 21:55:00 , 2024-01-20 23:55:00 , 93% , 980
北京 , 上海 , 四川航空 , 3U5136 , 波音777 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 13:00:00 , 2024-01-20 15:15:00 , 97% , 970
北京 , 上海 , 四川航空 , 3U5158 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 17:30:00 , 2024-01-20 19:45:00 , 97% , 970
北京 , 上海 , 四川航空 , 3U5472 , 空客32S , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 11:35:00 , 2024-01-20 13:55:00 , 97% , 980
北京 , 上海 , 四川航空 , 3U5148 , 空客321 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 20:15:00 , 2024-01-20 22:40:00 , 97% , 970
北京 , 上海 , 四川航空 , 3U5130 , 空客320 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 10:00:00 , 2024-01-20 12:20:00 , 93% , 970
北京 , 上海 , 四川航空 , 3U5142 , 空客320 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 18:00:00 , 2024-01-20 20:15:00 , 97% , 970
北京 , 上海 , 四川航空 , 3U5132 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 11:00:00 , 2024-01-20 13:20:00 , 97% , 970
北京 , 上海 , 四川航空 , 3U5144 , 波音777 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 19:00:00 , 2024-01-20 21:10:00 , 100% , 970
北京 , 上海 , 四川航空 , 3U5138 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 16:00:00 , 2024-01-20 18:15:00 , 97% , 970
北京 , 上海 , 四川航空 , 3U5128 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 09:00:00 , 2024-01-20 11:20:00 , 97% , 970
北京 , 上海 , 四川航空 , 3U4797 , 空客321 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 13:00:00 , 2024-01-20 14:55:00 , 93% , 840
北京 , 上海 , 海南航空 , HU7613 , 波音737 , 首都国际机场 , PEK , 浦东国际机场 , PVG , 2024-01-20 10:50:00 , 2024-01-20 13:20:00 , 97% , 1034
北京 , 上海 , 海南航空 , HU7601 , 梦想客机 波音787 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 07:10:00 , 2024-01-20 09:30:00 , 97% , 677
北京 , 上海 , 海南航空 , HU7609 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 20:45:00 , 2024-01-20 23:15:00 , 97% , 677
